Anno,città_CORRETTA,Luogo_CORRETTO,Evento
1974,Venezia,Palazzo Grassi,L'impuro folle
1974,Venezia,Teatro La Fenice,"La fabbrica illuminata"
1975,Bergamo,,Intermezzo
1975,Chieri,Festival Chieri,Paesaggio n. 5
1975,Firenze,Teatro Rondò di Bacco,Morte della geometria
1975,Palermo,Teatro Biondo,Dracula
1975,Prato,Teatro Metastasio,Amleto [Bene '75]
1975,Roma,Beat 72,Cavalcata sul lago di Costanza [Carella '75]
1975,Roma,Beat 72,La morte di Danton
1975,Roma,Meta-Teatro,Il Conte di Lautrèamont rappresenta i canti di Maldoror
1975,Roma,Spaziouno,Richiamo
1975,Roma,Teatro Abaco,Barbablè
1975,Roma,Teatro Centrale,La cimice [Orfeo '75]
1975,Roma,Teatro in Trastevere,Artificiale/Naturale
1975,Roma,Teatro la Comunità,Hermann
1975,Roma,Teatro la Comunità,Lumière Cinèmatographie
1975,Scandiano,Cinema Teatro Nuovo,La cimice [Cecchi '75]
1975,Spoleto,Teatrino delle sei,Un tram che si chiama Tallulah
1976,Cosenza,Palestra dello Spirito Santo,Luci della città
1976,Cosenza,Palestra dello Spirito Santo,Presagi del vampiro (studi per ambiente)
1976,Firenze,Maggio Musicale Fiorentino,La partenza dell'Argonauta
1976,Firenze,Santa Monica,Miracolo della neve. Un uomo guarda la luna attraverso un vetro rotto
1976,Firenze,Teatro Affratellamento,Il borghese gentiluomo
1976,Formello,Festival di Formello,Notturno fabulatorio
1976,Guastalla,Teatro Comunale,"L'Uomo, la bestia e la virtù"
1976,Milano,Piazza Vetra,Rotòbolo
1976,Milano,Teatro il Quarto,"La Traviata Norma, ovvero: Vaffanculo... ebbene si!"
1976,Montepulciano,Cantiere Internazionale d'Arte scuola De Amicis,Tradimenti-azione
1976,Prato,Teatro Metastasio,Romeo e Giulietta
1976,Roma,Beat 72,Autodiffamazione
1976,Roma,Beat 72,La rivolta degli oggetti
1976,Roma,Beat 72,Proust
1976,Roma,Beat 72,Viaggio sentimentale e oltre
1976,Roma,L'Attico,Locus Solus
1976,Roma,Lavatoio Contumaciale,I lavatoi contumaciali
1976,Roma,Spaziouno,Carmen
1976,Roma,Spaziouno,Lo spirito del giardino delle erbacce
1976,Roma,Teatro in Trastevere,I Masnadieri
1976,Salerno,Festival delle Nuove Tendenze,Il giardino dei sentieri che si biforcano
1976,Salerno,Festival delle Nuove Tendenze,Rusp spers
1976,Torino,Cabaret Voltaire,Liquidi
1976,Venezia,Biennale di Venezia,Tradimenti n. 2
1977,Cesena,Teatro Bonci,Riccardo III
1977,Fornolo di Ramiseto,,Recita nella stalla di Fornolo
1977,Gaeta,Galleria d'Arte Moderna,I giorni dell'angelo bianco
1977,Roma,Beat 72,Cronache marziane
1977,Roma,Beat 72,Esercizio n.1. Solo performance
1977,Roma,Beat 72,Il mistero dello Spettacolo. Marina.
1977,Roma,II edizione del Teatro di Postavanguardia,"Acqua Ridente, ovvero le ragazze sul fiume giallo"
1977,Roma,Spaziouno,Cottimisti
1977,Roma,Spaziouno,Santo Genet commediante e martire
1977,Roma,Teatro Abaco,Aiace per Sofocle
1977,Roma,Teatro Alberico,Assoli
1977,Roma,Teatro Flaiano,Il Maestro Pip
1977,Roma,Teatro in Trastevere,Franziska
1977,Torino,Cabaret Voltaire,Questo spettacolo non s’ha da fare: andate all’inferno!
1978,Bologna,II Settimana Internazionale della Performance,Fogli da un sillabario di penombre
1978,Cagliari,Spazio A,Il Mercatino
1978,Caserta,Sede Sociale di Teatro Studio,Frammenti discontinui di memorie
1978,Mantova,Teatro Bibiena,Blu Oltremare
1978,Milano,Fabbrica di comunicazione,Sogni proibiti
1978,Napoli,Rassegna Informazione ’78,Inaridite ceppaie di tempo
1978,Napoli,Spazio Libero,Siamo tutte prigioniere politiche
1978,Roma,,Non come loro
1978,Roma,Beat 72,Blu oltremare (nuova versione)
1978,Roma,Beat 72,Esempi di lucidità
1978,Roma,Beat 72,Quel giorno il pazzo si fermò: la deriva dei continenti
1978,Roma,Beat 72,Respiro sospeso
1978,Roma,Beat 72,Sciopero autonomo
1978,Roma,La Piramide,Risveglio di primavera [Perlini '78]
1978,Roma,Teatro Alberico,"In casa, fuori casa, alle porte di casa"
1978,Roma,Teatro Alberico,Omaggio a Marcel Duchamp [Di Marca novembre '78]
1978,Roma,Teatro in Trastevere,Pozzo
1978,Roma,Teatro La Maddalena,The a tre
1978,Siena,Teatro dei Rinnovati,Don Giovanni
1978,Siena,Teatro dei Rinnovati,Tre Jurni
1978,Spoleto,Galleria Taide,Musica da camera
1979,Basilea,"Rassegna ""Art 10 '79""",Fascino
1979,Benevento,Museo del Sannio,Altre circostanze
1979,Caserta,"Rassegna ""Passaggio a sud-ovest""",Demetra Good bye
1979,Caserta,"Rassegna ""Passaggio a sud-ovest""",Il Ladro di Bagdad
