Attore,Evento,Anno,Relazione,Data_old,Data_flat,Luogo_CORRETTO,città_CORRETTA,"Luogo, città _ORIGINALE",LENGHT
Caterina Casini,The a tre,1978,recitato in,12 December 1978,12 December 1978,Teatro La Maddalena,Roma,"Teatro La Maddalena, Roma",19
Gloria Guasti,The a tre,1978,recitato in,12 December 1978,12 December 1978,Teatro La Maddalena,Roma,"Teatro La Maddalena, Roma",19
Ippolita Avalli,The a tre,1978,recitato in,12 December 1978,12 December 1978,Teatro La Maddalena,Roma,"Teatro La Maddalena, Roma",19
Marzia Mealli,The a tre,1978,recitato in,12 December 1978,12 December 1978,Teatro La Maddalena,Roma,"Teatro La Maddalena, Roma",19
Monica Gazzo,The a tre,1978,recitato in,12 December 1978,12 December 1978,Teatro La Maddalena,Roma,"Teatro La Maddalena, Roma",19
Alberto Cracco,Amleto [Nanni '78],1978,recitato in,27 July 1978,27 July 1978,Teatro Romano,Verona,"Teatro Romano, Verona",13
Alessandro Vagoni,Amleto [Nanni '78],1978,recitato in,27 July 1978,27 July 1978,Teatro Romano,Verona,"Teatro Romano, Verona",13
Alessandro Vantini,Amleto [Nanni '78],1978,recitato in,27 July 1978,27 July 1978,Teatro Romano,Verona,"Teatro Romano, Verona",13
Edoardo Florio,Amleto [Nanni '78],1978,recitato in,27 July 1978,27 July 1978,Teatro Romano,Verona,"Teatro Romano, Verona",13
Luca Ronconi,XX (La roue),1971,ha diretto,14 April 1971,14 April 1971,Théâtre Odéon (Théâtre des Nations),Parigi,"Théâtre Odéon (Théâtre des Nations), Parigi",35
Franco Bisazza,Amleto [Nanni '78],1978,recitato in,27 July 1978,27 July 1978,Teatro Romano,Verona,"Teatro Romano, Verona",13
Giorgio Vigna,Amleto [Nanni '78],1978,recitato in,27 July 1978,27 July 1978,Teatro Romano,Verona,"Teatro Romano, Verona",13
Giovanna Fregonese,Amleto [Nanni '78],1978,recitato in,27 July 1978,27 July 1978,Teatro Romano,Verona,"Teatro Romano, Verona",13
Lorenzo Scarcella,Amleto [Nanni '78],1978,recitato in,27 July 1978,27 July 1978,Teatro Romano,Verona,"Teatro Romano, Verona",13
Manuela Kustermann,Amleto [Nanni '78],1978,recitato in,27 July 1978,27 July 1978,Teatro Romano,Verona,"Teatro Romano, Verona",13
Carmelo Bene,"Otello, o della deficienza della donna",1979,ha curato scene/costumi per,18 January 1979,18 January 1979,Teatro Quirino,Roma,"Teatro Quirino, Roma",14
