Attore,Evento,Anno,Relazione,Data_old,Data_flat,Luogo_CORRETTO,città_CORRETTA,"Luogo, città _ORIGINALE",LENGHT
Alfredo Abbisogno,Uomo-Massa [Vitiello '68],1968,ha diretto,8 March 1968,8 March 1968,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Alfiero Vicenti,Arden of Feversham,1968,recitato in,15 January 1968,15 January 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Giancarlo Nanni,Il bando per Virulentia,1966,ha diretto,14 March 1966,14 March 1966,Galleria Margutta,Roma,"Galleria Margutta, Roma",17
Giancarlo Nanni,Il bando per Virulentia,1966,testo/soggetto per,14 March 1966,14 March 1966,Galleria Margutta,Roma,"Galleria Margutta, Roma",17
Franco Gulà,Arden of Feversham,1968,recitato in,15 January 1968,15 January 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Dario Bellezza,Morte funesta,1979,testo/soggetto per,January 1979,January 1979,Galleria Nazionale d'Arte Moderna,Roma,"Galleria Nazionale d'Arte Moderna, Roma",33
Mario Romano,Morte funesta,1979,ha curato scene/costumi per,January 1979,January 1979,Galleria Nazionale d'Arte Moderna,Roma,"Galleria Nazionale d'Arte Moderna, Roma",33
Simone Carella,Morte funesta,1979,ha curato scene/costumi per,January 1979,January 1979,Galleria Nazionale d'Arte Moderna,Roma,"Galleria Nazionale d'Arte Moderna, Roma",33
Ulisse Benedetti,Morte funesta,1979,ha curato scene/costumi per,January 1979,January 1979,Galleria Nazionale d'Arte Moderna,Roma,"Galleria Nazionale d'Arte Moderna, Roma",33
Giovanni Davoli,Arden of Feversham,1968,recitato in,15 January 1968,15 January 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Federico Tiezzi,La donna stanca incontra il sole,1972,ha diretto,7 November 1972,7 November 1972,Galleria Schema,Firenze,"Galleria Schema, Firenze",15
Lydia Mancinelli,Arden of Feversham,1968,recitato in,15 January 1968,15 January 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Federico Tiezzi,La donna stanca incontra il sole,1972,testo/soggetto per,7 November 1972,7 November 1972,Galleria Schema,Firenze,"Galleria Schema, Firenze",15
Manlio Nevasti,Arden of Feversham,1968,recitato in,15 January 1968,15 January 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Ninetto Davoli,Arden of Feversham,1968,recitato in,15 January 1968,15 January 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Federica Giulietti,"La veste nuziale, Sette volte lo stesso peccato",1968,recitato in,22 January 1968,22 January 1968,Teatro del Leopardo,Roma,"Teatro del Leopardo, Roma",19
Gianfranco Mazzoni,"La veste nuziale, Sette volte lo stesso peccato",1968,recitato in,22 January 1968,22 January 1968,Teatro del Leopardo,Roma,"Teatro del Leopardo, Roma",19
Claudio Remondi,L'architetto e l'Imperatore d'Assiria,1968,recitato in,29 March 1968,29 March 1968,Teatro del Leopardo,Roma,"Teatro del Leopardo, Roma",19
Mario Martone,Musica da camera,1978,testo/soggetto per,23 February 1978,23 February 1978,Galleria Taide,Spoleto,"Galleria Taide, Salerno",14
Massimo De Rossi,L'architetto e l'Imperatore d'Assiria,1968,recitato in,29 March 1968,29 March 1968,Teatro del Leopardo,Roma,"Teatro del Leopardo, Roma",19
Federico Tiezzi,Morte di Francesco,1972,ha diretto,8 April 1972,8 April 1972,Galleria Techne,Firenze,"Galleria Techne, Firenze",15
Angelo Zito,I Creditori,1968,altro tipo di collaborazione,April 1968,April 1968,Teatro delle Muse,Roma,"Teatro delle Muse, Roma",17
Federico Tiezzi,Morte di Francesco,1972,testo/soggetto per,8 April 1972,8 April 1972,Galleria Techne,Firenze,"Galleria Techne, Firenze",15
Carlo Montagna,I Creditori,1968,recitato in,April 1968,April 1968,Teatro delle Muse,Roma,"Teatro delle Muse, Roma",17
Carlotta Barilli,I Creditori,1968,recitato in,April 1968,April 1968,Teatro delle Muse,Roma,"Teatro delle Muse, Roma",17
Paolo Bonacelli,I Creditori,1968,recitato in,April 1968,April 1968,Teatro delle Muse,Roma,"Teatro delle Muse, Roma",17
Angelo De Falco,Uomo-Massa [Vitiello '68],1968,ha curato scene/costumi per,8 March 1968,8 March 1968,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Arturo Morfino,Uomo-Massa [Vitiello '68],1968,ha curato musiche/sonoro per,8 March 1968,8 March 1968,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Alessandro Esposito,I testimoni,1968,recitato in,10 November 1968,10 November 1968,Teatro Gobetti,Torino,"Teatro Gobetti, Torino",14
Ernst Toller,Uomo-Massa [Vitiello '68],1968,testo/soggetto per,8 March 1968,8 March 1968,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Gennaro Vitiello,Uomo-Massa [Vitiello '68],1968,ha diretto,8 March 1968,8 March 1968,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Gennaro Vitiello,Uomo-Massa [Vitiello '68],1968,ha diretto,8 March 1968,8 March 1968,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Claudio Remondi,I testimoni,1968,recitato in,10 November 1968,10 November 1968,Teatro Gobetti,Torino,"Teatro Gobetti, Torino",14
Franco Ferrarone,I testimoni,1968,recitato in,10 November 1968,10 November 1968,Teatro Gobetti,Torino,"Teatro Gobetti, Torino",14
Giovanni Girosi,Uomo-Massa [Vitiello '68],1968,ha curato scene/costumi per,8 March 1968,8 March 1968,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Laura Panti,I testimoni,1968,recitato in,10 November 1968,10 November 1968,Teatro Gobetti,Torino,"Teatro Gobetti, Torino",14
Maria Teresa Sonni,I testimoni,1968,recitato in,10 November 1968,10 November 1968,Teatro Gobetti,Torino,"Teatro Gobetti, Torino",14
Mauro Carosi,Uomo-Massa [Vitiello '68],1968,ha diretto,8 March 1968,8 March 1968,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Odette Nicoletti,Uomo-Massa [Vitiello '68],1968,ha curato scene/costumi per,8 March 1968,8 March 1968,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Piero Sammarato,I testimoni,1968,recitato in,10 November 1968,10 November 1968,Teatro Gobetti,Torino,"Teatro Gobetti, Torino",14
Sergio De Sanctis,Uomo-Massa [Vitiello '68],1968,ha curato musiche/sonoro per,8 March 1968,8 March 1968,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Mario Martone,Verso il nulla,1979,ha diretto,7 May 1979,7 May 1979,Goethe Institut,Napoli,"Goethe Institut, Napoli",15
Rino Sudano,I testimoni,1968,recitato in,10 November 1968,10 November 1968,Teatro Gobetti,Torino,"Teatro Gobetti, Torino",14
Mario Martone,Verso il nulla,1979,testo/soggetto per,7 May 1979,7 May 1979,Goethe Institut,Napoli,"Goethe Institut, Napoli",15
Roberto Vezzosi,I testimoni,1968,recitato in,10 November 1968,10 November 1968,Teatro Gobetti,Torino,"Teatro Gobetti, Torino",14
Angelo De Falco,Moscheta,1965,ha curato scene/costumi per,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Wilma D'Eusebio,I testimoni,1968,recitato in,10 November 1968,10 November 1968,Teatro Gobetti,Torino,"Teatro Gobetti, Torino",14
Gennaro Vitiello,Moscheta,1965,ha diretto,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Giovanni Girosi,Moscheta,1965,ha curato scene/costumi per,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Giovanni Girosi,Moscheta,1965,ha curato scene/costumi per,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Adriano Dorato,Escurial prova la scuola dei buffoni,1968,recitato in,20 May 1968,20 May 1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Bernard Schumacher,Escurial prova la scuola dei buffoni,1968,recitato in,20 May 1968,20 May 1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Mario Perrucci,Moscheta,1965,ha curato musiche/sonoro per,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Fabio Ciriachi,Escurial prova la scuola dei buffoni,1968,recitato in,20 May 1968,20 May 1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Odette Nicoletti,Moscheta,1965,ha curato scene/costumi per,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Giancarlo Nanni,Escurial prova la scuola dei buffoni,1968,recitato in,20 May 1968,20 May 1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Giuliano Vasilicò,Escurial prova la scuola dei buffoni,1968,recitato in,20 May 1968,20 May 1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Ruzante,Moscheta,1965,testo/soggetto per,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Ingrid Valicò,Escurial prova la scuola dei buffoni,1968,recitato in,20 May 1968,20 May 1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Rossella Or,"Acqua Ridente, ovvero le ragazze sul fiume giallo",1977,ha diretto,1977,1977,II edizione del Teatro di Postavanguardia,Roma,"II edizione del Teatro di Postavanguardia, Roma",41
Manuela Kustermann,Escurial prova la scuola dei buffoni,1968,recitato in,20 May 1968,20 May 1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Rossella Or,"Acqua Ridente, ovvero le ragazze sul fiume giallo",1977,testo/soggetto per,1977,1977,II edizione del Teatro di Postavanguardia,Roma,"II edizione del Teatro di Postavanguardia, Roma",41
Michel Pergolani,Escurial prova la scuola dei buffoni,1968,recitato in,20 May 1968,20 May 1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Petta Vingelli,Escurial prova la scuola dei buffoni,1968,recitato in,20 May 1968,20 May 1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Valentino Orfeo,Escurial prova la scuola dei buffoni,1968,recitato in,20 May 1968,20 May 1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Giancarlo Nanni,26 opinioni su Marcel Duchamp,1968,recitato in,10 October 1968,10 October 1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Manuela Kustermann,26 opinioni su Marcel Duchamp,1968,recitato in,10 October 1968,10 October 1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Giancarlo Nanni,Marcel Duchamp - conferenza - mixed media,1968,recitato in,1968,1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Manuela Kustermann,Marcel Duchamp - conferenza - mixed media,1968,recitato in,1968,1968,Teatro la Fede,Roma,"Teatro la Fede, Roma",14
Clara Colosimo,Don Chisciotte,1968,recitato in,October 1968,October 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Claudio Orsi,Don Chisciotte,1968,recitato in,October 1968,October 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Gustavo D'Arpe,Don Chisciotte,1968,recitato in,October 1968,October 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Teatro Studio,Fogli da un sillabario di penombre,1978,ha diretto,4 June 1978,4 June 1978,II Settimana Internazionale della Performance,Bologna,"II Settimana Internazionale della Performance, Bologna",45
Teatro Studio,Fogli da un sillabario di penombre,1978,testo/soggetto per,4 June 1978,4 June 1978,II Settimana Internazionale della Performance,Bologna,"II Settimana Internazionale della Performance, Bologna",45
Leo De Berardinis,Don Chisciotte,1968,recitato in,October 1968,October 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Lydia Mancinelli,Don Chisciotte,1968,recitato in,October 1968,October 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Perla Peragallo,Don Chisciotte,1968,recitato in,October 1968,October 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Carlo Cecchi,Il ricatto a teatro,1968,recitato in,February 1968,February 1968,Teatro di via Belsiana,Roma,"Teatro di via Belsiana, Roma",22
Claudio Camaso,Il ricatto a teatro,1968,recitato in,February 1968,February 1968,Teatro di via Belsiana,Roma,"Teatro di via Belsiana, Roma",22
Laura Betti,Il ricatto a teatro,1968,recitato in,February 1968,February 1968,Teatro di via Belsiana,Roma,"Teatro di via Belsiana, Roma",22
Paolo Graziosi,Il ricatto a teatro,1968,recitato in,February 1968,February 1968,Teatro di via Belsiana,Roma,"Teatro di via Belsiana, Roma",22
Carmelo Bene,Arden of Feversham,1968,recitato in,15 January 1968,15 January 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Carmelo Bene,Don Chisciotte,1968,recitato in,October 1968,October 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Carlo Montesi,Moby Dick,1971,ha curato scene/costumi per,November 1971,November 1971,III Rassegna Teatro Nuovo,Palermo,"III Rassegna Teatro Nuovo, Palermo",25
Carmelo Bene,Spettacolo Majakovskij,1968,recitato in,February 1968,February 1968,Teatro Carmelo Bene,Roma,"Teatro Carmelo Bene, Roma",19
Claudio Previtera,Moby Dick,1971,ha curato scene/costumi per,November 1971,November 1971,III Rassegna Teatro Nuovo,Palermo,"III Rassegna Teatro Nuovo, Palermo",25
Anna Maestri,Nella giungla delle città,1968,recitato in,February 1968,February 1968,Teatro Valle,Roma,"Teatro Valle, Roma",12
Enrico Ostermann,Nella giungla delle città,1968,recitato in,February 1968,February 1968,Teatro Valle,Roma,"Teatro Valle, Roma",12
Ferruccio De Ceresa,Nella giungla delle città,1968,recitato in,February 1968,February 1968,Teatro Valle,Roma,"Teatro Valle, Roma",12
Mario Ricci,Moby Dick,1971,ha diretto,November 1971,November 1971,III Rassegna Teatro Nuovo,Palermo,"III Rassegna Teatro Nuovo, Palermo",25
Mario Ricci,Moby Dick,1971,testo/soggetto per,November 1971,November 1971,III Rassegna Teatro Nuovo,Palermo,"III Rassegna Teatro Nuovo, Palermo",25
Mario Romano,Moby Dick,1971,ha curato scene/costumi per,November 1971,November 1971,III Rassegna Teatro Nuovo,Palermo,"III Rassegna Teatro Nuovo, Palermo",25
Aristofane,La mucca parlò a Pasquale,1966,testo/soggetto per,February 1966,February 1966,Italsider,Genova,"Italsider, Genova",9
Bertolt Brecht,La mucca parlò a Pasquale,1966,testo/soggetto per,February 1966,February 1966,Italsider,Genova,"Italsider, Genova",9
Carlo Quartucci,Le Sedie,1961,ha curato scene/costumi per,13 April 1961,13 April 1961,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Cervantes,La mucca parlò a Pasquale,1966,testo/soggetto per,February 1966,February 1966,Italsider,Genova,"Italsider, Genova",9
Giancarlo Bignardi,La mucca parlò a Pasquale,1966,ha curato scene/costumi per,February 1966,February 1966,Italsider,Genova,"Italsider, Genova",9
Giancarlo Bignardi,La mucca parlò a Pasquale,1966,ha curato scene/costumi per,February 1966,February 1966,Italsider,Genova,"Italsider, Genova",9
Luigi Pirandello,La mucca parlò a Pasquale,1966,testo/soggetto per,February 1966,February 1966,Italsider,Genova,"Italsider, Genova",9
Mrozek,La mucca parlò a Pasquale,1966,testo/soggetto per,February 1966,February 1966,Italsider,Genova,"Italsider, Genova",9
Plauto,La mucca parlò a Pasquale,1966,testo/soggetto per,February 1966,February 1966,Italsider,Genova,"Italsider, Genova",9
Rabelais,La mucca parlò a Pasquale,1966,testo/soggetto per,February 1966,February 1966,Italsider,Genova,"Italsider, Genova",9
Ruzante,La mucca parlò a Pasquale,1966,testo/soggetto per,February 1966,February 1966,Italsider,Genova,"Italsider, Genova",9
Carlo Quartucci,Le Sedie,1961,ha diretto,13 April 1961,13 April 1961,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Gianfranco Barra,Nella giungla delle città,1968,recitato in,February 1968,February 1968,Teatro Valle,Roma,"Teatro Valle, Roma",12
Molière,George Dandin,1967,testo/soggetto per,1967,1967,Italsider,Genova,"Italsider, Genova",9
Ileana Ghione,Nella giungla delle città,1968,recitato in,February 1968,February 1968,Teatro Valle,Roma,"Teatro Valle, Roma",12
Alvin Curran,Locus Solus,1976,ha curato musiche/sonoro per,9 January 1976,9 January 1976,L'Attico,Roma,"L'Attico, Roma",8
Luigi Proietti,Nella giungla delle città,1968,recitato in,February 1968,February 1968,Teatro Valle,Roma,"Teatro Valle, Roma",12
Antonello Aglioti,Locus Solus,1976,ha curato scene/costumi per,9 January 1976,9 January 1976,L'Attico,Roma,"L'Attico, Roma",8
Antonello Aglioti,Locus Solus,1976,ha curato scene/costumi per,9 January 1976,9 January 1976,L'Attico,Roma,"L'Attico, Roma",8
Antonello Aglioti,Locus Solus,1976,ha curato scene/costumi per,9 January 1976,9 January 1976,L'Attico,Roma,"L'Attico, Roma",8
Paila Pavese,Nella giungla delle città,1968,recitato in,February 1968,February 1968,Teatro Valle,Roma,"Teatro Valle, Roma",12
Ambretta Miniati,Confronto I,1968,recitato in,29 November 1968,29 November 1968,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Anna Baladini,Confronto I,1968,recitato in,29 November 1968,29 November 1968,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Gabriella Bartolomei,Confronto I,1968,recitato in,29 November 1968,29 November 1968,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Graziana Riccetti,Confronto I,1968,recitato in,29 November 1968,29 November 1968,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Moreno Pini,Confronto I,1968,recitato in,29 November 1968,29 November 1968,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Pier Luigi Pieralli,Confronto I,1968,recitato in,29 November 1968,29 November 1968,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Vincenzo Versari,Confronto I,1968,recitato in,29 November 1968,29 November 1968,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Vitoria Damiani,Confronto I,1968,recitato in,29 November 1968,29 November 1968,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Memè Perlini,Locus Solus,1976,adattamento del testo per,9 January 1976,9 January 1976,L'Attico,Roma,"L'Attico, Roma",8
Raymond Roussel,Locus Solus,1976,testo/soggetto per,9 January 1976,9 January 1976,L'Attico,Roma,"L'Attico, Roma",8
Enza Giacomantonio,Lettere a un sindaco,1968,recitato in,8 May 1968,8 May 1968,Teatro Santa Chiara,Brescia,"Teatro Santa Chiara, Brescia",19
Ermes Scaramelli,Lettere a un sindaco,1968,recitato in,8 May 1968,8 May 1968,Teatro Santa Chiara,Brescia,"Teatro Santa Chiara, Brescia",19
Carmelo Bene,Lo stano caso del dottor Jekyll e di Mister Hyde,1961,adattamento del testo per,30 May 1961,30 May 1961,La Borsa d'Arlecchino,Genova,"La Borsa d'Arlecchino, Genova",21
Carmelo Bene,Lo stano caso del dottor Jekyll e di Mister Hyde,1961,ha diretto,30 May 1961,30 May 1961,La Borsa d'Arlecchino,Genova,"La Borsa d'Arlecchino, Genova",21
Giancarlo Germi,Lettere a un sindaco,1968,recitato in,8 May 1968,8 May 1968,Teatro Santa Chiara,Brescia,"Teatro Santa Chiara, Brescia",19
Giancarlo Bignardi,Lo stano caso del dottor Jekyll e di Mister Hyde,1961,ha curato scene/costumi per,30 May 1961,30 May 1961,La Borsa d'Arlecchino,Genova,"La Borsa d'Arlecchino, Genova",21
Robert Louis Stevenson,Lo stano caso del dottor Jekyll e di Mister Hyde,1961,testo/soggetto per,30 May 1961,30 May 1961,La Borsa d'Arlecchino,Genova,"La Borsa d'Arlecchino, Genova",21
Aldo Trionfo,Alta Sorveglianza,1960,ha diretto,1960,1960,La Borsa d'Arlecchino,Genova,"La Borsa d'Arlecchino, Genova",21
Jean Genet,Alta Sorveglianza,1960,testo/soggetto per,1960,1960,La Borsa d'Arlecchino,Genova,"La Borsa d'Arlecchino, Genova",21
Giulio Pracchini,Lettere a un sindaco,1968,recitato in,8 May 1968,8 May 1968,Teatro Santa Chiara,Brescia,"Teatro Santa Chiara, Brescia",19
Maria Teresa Giudici,Lettere a un sindaco,1968,recitato in,8 May 1968,8 May 1968,Teatro Santa Chiara,Brescia,"Teatro Santa Chiara, Brescia",19
Pieremilio Gabusi,Lettere a un sindaco,1968,recitato in,8 May 1968,8 May 1968,Teatro Santa Chiara,Brescia,"Teatro Santa Chiara, Brescia",19
Renato Borsoni,Lettere a un sindaco,1968,recitato in,8 May 1968,8 May 1968,Teatro Santa Chiara,Brescia,"Teatro Santa Chiara, Brescia",19
Aldo Engheben,Dietro il ponte c'è un cimitero,1968,recitato in,9 November 1968,9 November 1968,Teatro Santa Chiara,Brescia,"Teatro Santa Chiara, Brescia",19
Ermes Scaramelli,Dietro il ponte c'è un cimitero,1968,recitato in,9 November 1968,9 November 1968,Teatro Santa Chiara,Brescia,"Teatro Santa Chiara, Brescia",19
Marisa Germano,Dietro il ponte c'è un cimitero,1968,recitato in,9 November 1968,9 November 1968,Teatro Santa Chiara,Brescia,"Teatro Santa Chiara, Brescia",19
Antonello Aglioti,Cavalcata sul lago di Costanza [Perlini '79],1979,ha curato scene/costumi per,3 November 1979,3 November 1979,La Piramide,Roma,"La Piramide, Roma",11
Antonello Aglioti,Cavalcata sul lago di Costanza [Perlini '79],1979,ha curato scene/costumi per,3 November 1979,3 November 1979,La Piramide,Roma,"La Piramide, Roma",11
Renato Borsoni,Dietro il ponte c'è un cimitero,1968,recitato in,9 November 1968,9 November 1968,Teatro Santa Chiara,Brescia,"Teatro Santa Chiara, Brescia",19
Angela Diana,James Joyce,1968,recitato in,October 1968,October 1968,Unione Culturale,Torino,"Unione Culturale, Torino",16
Carlo Montesi,James Joyce,1968,recitato in,October 1968,October 1968,Unione Culturale,Torino,"Unione Culturale, Torino",16
Deborah Hayes,James Joyce,1968,recitato in,October 1968,October 1968,Unione Culturale,Torino,"Unione Culturale, Torino",16
Luigi Perrone,James Joyce,1968,recitato in,October 1968,October 1968,Unione Culturale,Torino,"Unione Culturale, Torino",16
Mario Romano,James Joyce,1968,recitato in,October 1968,October 1968,Unione Culturale,Torino,"Unione Culturale, Torino",16
Tonino Campanelli,James Joyce,1968,recitato in,October 1968,October 1968,Unione Culturale,Torino,"Unione Culturale, Torino",16
Memè Perlini,Cavalcata sul lago di Costanza [Perlini '79],1979,ha diretto,3 November 1979,3 November 1979,La Piramide,Roma,"La Piramide, Roma",11
Gianfranco Mazzoni,Woyzech [Mazzoni '69],1969,recitato in,4 June 1969,4 June 1969,Beat 72,Roma,"Beat 72, Roma",7
Peter Handke,Cavalcata sul lago di Costanza [Perlini '79],1979,testo/soggetto per,3 November 1979,3 November 1979,La Piramide,Roma,"La Piramide, Roma",11
Graziella di Prospero,Woyzech [Mazzoni '69],1969,recitato in,4 June 1969,4 June 1969,Beat 72,Roma,"Beat 72, Roma",7
Letizia Girolami,Woyzech [Mazzoni '69],1969,recitato in,4 June 1969,4 June 1969,Beat 72,Roma,"Beat 72, Roma",7
Marco Attanasio,Woyzech [Mazzoni '69],1969,recitato in,4 June 1969,4 June 1969,Beat 72,Roma,"Beat 72, Roma",7
Marela Conforti,Woyzech [Mazzoni '69],1969,recitato in,4 June 1969,4 June 1969,Beat 72,Roma,"Beat 72, Roma",7
Antonello Aglioti,Risveglio di primavera [Perlini '78],1978,ha curato scene/costumi per,4 May 1978,4 May 1978,La Piramide,Roma,"La Piramide, Roma",11
Antonello Aglioti,Risveglio di primavera [Perlini '78],1978,ha curato scene/costumi per,4 May 1978,4 May 1978,La Piramide,Roma,"La Piramide, Roma",11
Mario Gigantini,Woyzech [Mazzoni '69],1969,recitato in,4 June 1969,4 June 1969,Beat 72,Roma,"Beat 72, Roma",7
Sergio Domma,Woyzech [Mazzoni '69],1969,recitato in,4 June 1969,4 June 1969,Beat 72,Roma,"Beat 72, Roma",7
Spartaco Buccali,Woyzech [Mazzoni '69],1969,recitato in,4 June 1969,4 June 1969,Beat 72,Roma,"Beat 72, Roma",7
Alberto Faenzi,Missione Psicopolitica,1969,recitato in,1 March 1969,1 March 1969,Beat 72,Roma,"Beat 72, Roma",7
Carlo Torrisi,Missione Psicopolitica,1969,recitato in,1 March 1969,1 March 1969,Beat 72,Roma,"Beat 72, Roma",7
Daniela Bendoni,Risveglio di primavera [Perlini '78],1978,ha curato scene/costumi per,4 May 1978,4 May 1978,La Piramide,Roma,"La Piramide, Roma",11
Gino Del Cinque,Missione Psicopolitica,1969,recitato in,1 March 1969,1 March 1969,Beat 72,Roma,"Beat 72, Roma",7
Giuliano Vasilicò,Missione Psicopolitica,1969,recitato in,1 March 1969,1 March 1969,Beat 72,Roma,"Beat 72, Roma",7
Frank Wedekind,Risveglio di primavera [Perlini '78],1978,testo/soggetto per,4 May 1978,4 May 1978,La Piramide,Roma,"La Piramide, Roma",11
Ingrid Enbon,Missione Psicopolitica,1969,recitato in,1 March 1969,1 March 1969,Beat 72,Roma,"Beat 72, Roma",7
Lucia Vasilicò,Missione Psicopolitica,1969,recitato in,1 March 1969,1 March 1969,Beat 72,Roma,"Beat 72, Roma",7
Marco Massaccesi,Risveglio di primavera [Perlini '78],1978,ha curato musiche/sonoro per,4 May 1978,4 May 1978,La Piramide,Roma,"La Piramide, Roma",11
Delia Bartolucci,Sette contro Tebe,1969,recitato in,3 October 1969,3 October 1969,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Edi Gambara,Sette contro Tebe,1969,recitato in,3 October 1969,3 October 1969,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Memè Perlini,Risveglio di primavera [Perlini '78],1978,ha diretto,4 May 1978,4 May 1978,La Piramide,Roma,"La Piramide, Roma",11
Enza Giacomantonio,Sette contro Tebe,1969,recitato in,3 October 1969,3 October 1969,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Maria Teresa Giudici,Sette contro Tebe,1969,recitato in,3 October 1969,3 October 1969,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Rodolfo Traversa,Sette contro Tebe,1969,recitato in,3 October 1969,3 October 1969,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Ruggero Dondi,Sette contro Tebe,1969,recitato in,3 October 1969,3 October 1969,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Francesca Benedetti,Scontri generali I (bianco),1969,recitato in,1969,1969,,Bologna,Bologna,0
Giancarlo Cobelli,Scontri generali I (bianco),1969,recitato in,1969,1969,,Bologna,Bologna,0
Massimo Castri,Scontri generali I (bianco),1969,recitato in,1969,1969,,Bologna,Bologna,0
Virginio Gazzolo,Scontri generali I (bianco),1969,recitato in,1969,1969,,Bologna,Bologna,0
Adriana Cipriani,I Negri,1969,recitato in,17 January 1969,17 January 1969,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Davide Maria Avecone,I Negri,1969,recitato in,17 January 1969,17 January 1969,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Dely De Majo,I Negri,1969,recitato in,17 January 1969,17 January 1969,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Giulio Baffi,I Negri,1969,recitato in,17 January 1969,17 January 1969,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Alberto Savinio,La partenza dell'Argonauta,1976,testo/soggetto per,25 June 1976,25 June 1976,Maggio Musicale Fiorentino,Firenze,Maggio Musicale Fiorentino,26
